Numéro Solde,Surname,First name,Date of birth
1,A’Koyh,Urkiz,22327
2,Adakma-Gdumm,Axydi Ixyfupinl,32871
3,Adoyhhi,Wvykqiz Uereznu,22600
4,Aeykxyka,Oagpu,24586
5,Afykn-Punak,Utiaxu,36274
6,Ahe-Zakyn (Kyy Bhoky),Hykycvit N.,30746
7,Ahpuk N.,Javne,27765
8,Ajyx-Bahy,Avuy,33215
9,Akyoh,Catuo Ithuvt,24310
10,Akyoh,Salk,35734
11,Ammydjyk,Sakunluk,30387
12,Ammydjyok,Zugeix Piksugyk,26233
13,Ammydjyok,Zugeix Sakunluk,25056
14,Ammydjyok Zd.,Uxcvit,32837
15,Anpuk,Gavruk,31023
16,Anpuk,Juxajal,23538
17,Anpuk,Likvo,31620
18,Anpuk,Pukrevu,35621
19,Anpuk,Pukrevu 1,36124
20,Anpuk,Pukrevu 2,26802
21,Anpuk B.,Juguvu,27286
22,Anpuk P.,Pukrevu,23915
23,Anra,Gyqluix,29571
24,Anuoa,Nirpilek,26902
25,Apude,Cim,35589
26,Apude,Sakunluk,30712
27,Apude,Sakunluk,36216
28,Aqak-Anaqfu,Pviktuxyki,33881
29,Aqako-Fohhoupn,U T.,26741
