Numéro EMIS;teacher_surname;teacher_name;teacher_sex;Date of birth
1;2Nrydoss;Guvyugu;Female;16/01/1978
2;Adakma - Bahy;Itku W;Female;12/04/1988
3;Adakma-Gdumm;Axydi;Female;29/12/1989
4;Adoyhhi;Gaziz;Male;29/07/1964
5;Adoyhhi;Gaziz;Male;06/10/1984
6;Adoyhhi;Wvykqizz  Uereznu;Female;15/11/1961
7;Aeykxyka;Oagpu;Male;24/04/1967
8;Afykn-Punak;Utiaxu;Male;24/04/1999
9;Ahe Zakyn;Hykycvit N;Female;05/03/1984
10;Ahu Fohhoupn;Ixyfipinl;Female;09/10/1964
11;Akoyh;Urkiz G;Female;02/12/1994
12;A'Kyoh;Catuo Ithuvt;Male;22/07/1966
13;A'Kyoh;Wlyxyw S.;Male;31/10/1997
14;Ammydjyok;Sakunluk;Male;05/02/1962
15;Ammydjyok;Uxcvit   Sv;Male;25/11/1989
16;Ammydjyok;Zugeix P;Male;27/10/1971
17;Anoj;Nugpu;Male;08/02/1986
18;Anpuk;Juxajal;Male;29/10/1970
19;Anpuk;Nugpu Tudyt;Male;27/02/1963
20;Anpuk;Qaknil V.;Male;02/07/1964
21;Anra;Gyqluix A.;Male;16/12/1980
22;Anuoa;Niprilek;Male;26/08/1973
23;Anuoa;Niprilek;Male;30/05/1991
24;Apud;Aguve Kevetiik;Male;03/04/1980
25;Apude;Cim;Male;08/06/1997
26;Apude;Sakunluk;Male;31/01/1984
27;Apude;Sakunluk P;Male;25/02/1999
28;Apude Juddoy;Uxwlu;Male;19/03/1987
29;Aqaho;Guvruvin Ksytiju;Female;12/12/1982
30;Aqak;Pviktuxyki;Female;04/10/1992
31;Aqako_Fohhoupn;Uxim;Male;18/03/1973
32;Assad;Rivuxtyki  Q;Female;18/04/1993
33;Baagyd;Guvyuk;Female;24/07/1960
34;Baagyd;Ithyk C;Male;30/10/1987
35;Baagyd;Ixyfupinl;Female;18/11/1994
36;Baagyd;Iznliv;Female;13/02/1991
