Numéro Solde;Surname;First name;Date of birth
1;A’Koyh;Urkiz;15/02/1961
2;Adakma-Gdumm;Axydi Ixyfupinl;29/12/1989
3;Adoyhhi;Wvykqiz Uereznu;15/11/1961
4;Aeykxyka;Oagpu;24/04/1967
5;Afykn-Punak;Utiaxu;24/04/1999
6;Ahe-Zakyn (Kyy Bhoky);Hykycvit N.;05/03/1984
7;Ahpuk N.;Javne;06/01/1976
8;Ajyx-Bahy;Avuy;08/12/1990
9;Akyoh;Catuo Ithuvt;22/07/1966
10;Akyoh;Salk;31/10/1997
11;Ammydjyk;Sakunluk;12/03/1983
12;Ammydjyok;Zugeix Piksugyk;27/10/1971
13;Ammydjyok;Zugeix Sakunluk;06/08/1968
14;Ammydjyok Zd.;Uxcvit;25/11/1989
15;Anpuk;Gavruk;07/12/1984
16;Anpuk;Juxajal;10/06/1964
17;Anpuk;Likvo;27/07/1986
18;Anpuk;Pukrevu;10/07/1997
19;Anpuk;Pukrevu 1;25/11/1998
20;Anpuk;Pukrevu 2;18/05/1973
21;Anpuk B.;Juguvu;14/09/1974
22;Anpuk P.;Pukrevu;22/06/1965
23;Anra;Gyqluix;16/12/1980
24;Anuoa;Nirpilek;26/08/1973
25;Apude;Cim;08/06/1997
