Numéro Solde;Surname;First name;Date of birth
1;A’Koyh;Urkiz;15/02/1961
2;Adakma-Gdumm;Axydi Ixyfupinl;29/12/1989
12569;Lolo; Olivier Calmels; 30/05/1987
3;Adoyhhi;Wvykqiz Uereznu;15/11/1961
4;Aeykxyka;Oagpu;24/04/1967
5;Afykn-Punak;Utiaxu;24/04/1999
6;Ahe-Zakyn (Kyy Bhoky);Hykycvit N.;05/03/1984
7;Ahpuk N.;Javne;06/01/1976
8;Ajyx-Bahy;Avuy;08/12/1990
9;Akyoh;Catuo Ithuvt;22/07/1966
10;Akyoh;Salk;31/10/1997
11;Ammydjyk;Sakunluk;12/03/1983
12;Ammydjyok;Zugeix Piksugyk;27/10/1971
13;Ammydjyok;Zugeix Sakunluk;06/08/1968
14;Ammydjyok Zd.;Uxcvit;25/11/1989
15;Anpuk;Gavruk;07/12/1984
16;Anpuk;Juxajal;10/06/1964
17;Anpuk;Likvo;27/07/1986
18;Anpuk;Pukrevu;10/07/1997
19;Anpuk;Pukrevu 1;25/11/1998
20;Anpuk;Pukrevu 2;18/05/1973
21;Anpuk B.;Juguvu;14/09/1974
22;Anpuk P.;Pukrevu;22/06/1965
23;Anra;Gyqluix;16/12/1980
24;Anuoa;Nirpilek;26/08/1973
25;Apude;Cim;08/06/1997
26;Apude;Sakunluk;31/01/1984
27;Apude;Sakunluk;25/02/1999
28;Aqak-Anaqfu;Pviktuxyki;04/10/1992
29;Aqako-Fohhoupn;U T.;18/03/1973
30;Asaxohy;Tavanlo;23/09/1995
31;Assad;Rivuxtyki Qlytipivi;18/04/1993
32;Axyhou P.;Cuvgu;14/07/1967
33;Aza-Fohhoupn;Saziwlyki;18/01/1999
34;Baagyd;Guvyuk;24/07/1960
35;Baagyd;Ithyk.C;30/10/1987
36;Baagyd;Ixyfupinl;18/11/1994
37;Baagyd;Iznliv G.;13/02/1991
38;Baagyd;Nliawlyxez;12/06/1998
39;Baagyd;Saziwl Qluvxiz;30/03/1988
40;Baagyd;Sugiz S.;20/04/1971
41;Baagyd;Ukk Likvyinnu;22/08/1965
42;Baagyd;Wunvyqyu S.;12/04/1964
43;Baapjyd;Cuknu W.;13/11/1984
44;Baapjyd;Cvukqizz;21/10/1967
45;Baapjyd;Galugit;09/12/1985
46;Baapjyd;Galugit;05/11/1987
47;Baapjyd;Guhexal;17/06/1964
48;Baapjyd;Gykinni;26/10/1965
49;Baapjyd;Luhu Vuqlix;17/01/1982
50;Baapjyd;Paqjuvyi;13/01/1968
51;Baapjyd;Paqjuvyi N.;24/04/1965
52;Baapjyd;Pvuygu;27/03/1984
53;Baapjyd;Riavryuku;18/10/1982
54;Baapjyd;Ukzeguku;10/01/1983
55;Baapjyd;Uveku Tuetu;02/10/1978
56;Baapjyd;Viryuku G.;13/08/1970
57;Baapjyd;Yzunu;31/08/1989
58;Baapjyd;Znukxio P.;03/08/1994
59;Baapjyd;Zugeix;28/12/1982
60;Baayhui;Tipavul;07/09/1982
61;Badkyh;Upyi;07/02/1997
62;Badkyh;Utugu G. S.;07/02/1970
63;Badkyr;Geze Jakou;29/10/1976
64;Bafuk;Cvukqizz;29/04/1964
65;Bafuk;Innu G.;18/12/1966
66;Bafuk;Ivyq Z. X.;19/02/1977
67;Bafuk;Ixdyvu Yviki;25/05/1978
68;Bafuk;Nlivzu Qlvyznxuku;30/03/1965
69;Bagadpyr;Guvyi H.;08/11/1989
70;Bahepju;Guvo;15/10/1964
71;Bahepjyd;Guvo S.;06/11/1990
72;Bahepjyd;Ykkul;15/10/1970
73;Bahhoyd;Galugit;30/09/1967
74;Bahhoyd;Gavvyzak;31/12/1972
75;Bahhoyd;Guvnlu;27/10/1977
76;Bahhoyd;Hyxxyug Zoxdukez;06/04/1979
77;Bahhoyd;Jutyune;01/04/1960
78;Bahhoyd;Koujil Tukyix Pveqi;29/07/1971
79;Bahhoyd;Uptex Hulup;25/08/1992
80;Bahhoyd;Uxlusy;16/10/1988
81;Bahhoyd;Vetaxwl;11/10/1997
82;Bahhoyd;Wlyxyqyu G.;13/09/1982
83;Bahhoyd;Wvykqizz;22/01/1985
84;Bahhoyd;Ypvulyg;13/08/1965
85;Bahy;Cungunu Nisuk;09/11/1963
86;Bahy;Cuynl;04/06/1991
87;Bahy;Cvukqyz Yzzuq;20/08/1982
88;Bahy;Cxavikqi;04/03/1986
89;Bahy;Dyqnav;01/12/1964
90;Bahy;Fuykup;09/03/1991
91;Bahy;Guvyugu;20/05/1961
92;Bahy;Huxniv Skv.;03/07/1965
93;Bahy;Ierikyu;30/09/1969
94;Bahy;Igixyu G.;13/08/1994
95;Bahy;Ithuvt;04/07/1980
96;Bahy;Ixyfupinl;16/08/1973
97;Bahy;Ixyfupinl A.;15/07/1976
98;Bahy;Likvo I.;26/09/1976
99;Bahy;Luhu-S-;20/03/1971
100;Bahy;Nyrytukjuo;12/11/1975
101;Bahy;Oezec;12/05/1963
102;Bahy;Quvaxyki X.;11/04/1993
103;Bahy;Riavri;10/08/1975
104;Bahy;Rxutoz;27/10/1980
105;Bahy;Rxutoz G.;28/12/1987
106;Bahy;Saziwl;29/08/1995
107;Bahy;Saziwl;13/01/1977
108;Bahy;Saziwl Vigyzu;13/10/1995
109;Bahy;Saziwlyki Q.;16/12/1998
110;Bahy;Sazzyi;01/08/1987
111;Bahy;Sexyez Upyazil;08/05/1999
112;Bahy;Sivigyul;14/01/1968
113;Bahy;Siznyku P.;08/11/1982
114;Bahy;Sugiz U.;12/11/1962
115;Bahy;Suki N.;15/05/1994
116;Bahy;Uereznu Z.;09/10/1960
117;Bahy;Uptexuy;02/05/1987
118;Bahy;Upvulug T.;13/04/1990
119;Bahy;Vapivn Uvnlev;18/09/1980
120;Bahy;Viryku Cudaev;22/10/1974
121;Bahy;Vuzlyt;28/09/1970
122;Bahy;Wunvyqj P.;18/09/1998
123;Bahy;Wvykqizz;27/05/1961
124;Bahy;Wvykqizz;14/03/1994
125;Bahy;Ykul S.;27/04/1987
126;Bahy;Ypvulyg;16/12/1960
127;Bahy;Yzlu;22/04/1960
128;Bahy;Zexuyguk;12/01/1984
129;Bahy;Zexuyguk;11/06/1962
130;Bahy-Xyyk;Kuzyve;31/10/1984
131;Bakdyr;Zluju;05/07/1975
132;Bakkonak;Iggukeix Z. N.;09/01/1981
133;Bakkonak;Sakunluk;16/02/1980
134;Bakkonak;Uereznez;29/06/1971
135;Bakkyh;Zakko Uxpivn;15/03/1976
136;Bakkyr;Qlvyznyuku Jutyune Q.;02/06/1986
137;Bakmry;Salk;03/01/1981
138;Bakmyr;Apuy;08/01/1979
139;Bakmyr;Axydinni;09/08/1966
140;Bakmyr;Azguk;08/08/1965
141;Bakmyr;Azguk;21/07/1960
142;Bakmyr;Azguk;03/05/1985
143;Bakmyr;Azguk;30/03/1996
144;Bakmyr;Azguk;10/11/1990
145;Bakmyr;Azguk;19/05/1971
146;Bakmyr;Azguk;10/11/1972
147;Bakmyr;Azguk;27/01/1993
148;Bakmyr;Azguk;12/11/1997
149;Bakmyr;Azguk;29/09/1984
150;Bakmyr;Azguk;01/07/1995
151;Bakmyr;Azguk;31/12/1997
152;Bakmyr;Azguk;13/01/1974
153;Bakmyr;Azguk;09/06/1994
154;Bakmyr;Azguk;27/05/1992
155;Bakmyr;Azguk;11/11/1992
156;Bakmyr;Azguk;04/05/1965
157;Bakmyr;Azguk .U;03/11/1997
158;Bakmyr;Azguk G.;04/07/1984
159;Bakmyr;Azguk Galugit;15/04/1966
160;Bakmyr;Azguk U.;08/05/1968
161;Bakmyr;Azguk Uguvu Zuxxyie;18/08/1971
162;Bakmyr;Azguk Veryune;12/11/1971
163;Bakmyr;Azguk Winiv;26/11/1960
164;Bakmyr;Azguk Z.;01/05/1992
165;Bakmyr;Azguk.U;29/12/1981
166;Bakmyr;Azguk-Zuxug;24/02/1964
167;Bakmyr;Cakny;30/12/1963
168;Bakmyr;Catuo;06/01/1969
169;Bakmyr;Catuo;25/07/1966
170;Bakmyr;Catuo;23/11/1991
171;Bakmyr;Catuo;02/02/1965
172;Bakmyr;Catuo Galugit;08/12/1973
173;Bakmyr;Catuo P.;16/08/1985
174;Bakmyr;Catuo Pavpav;31/12/1979
175;Bakmyr;Catuo Z.;03/11/1988
176;Bakmyr;Catuo Z.;26/05/1980
177;Bakmyr;Cetyu;10/08/1998
178;Bakmyr;Cetyu;12/02/1962
179;Bakmyr;Ceute Z.;09/02/1971
180;Bakmyr;Cexxu-Geze;08/03/1978
181;Bakmyr;Cixym G.;11/02/1979
182;Bakmyr;Ciznez Azguk;08/07/1961
183;Bakmyr;Cukkil;15/12/1992
184;Bakmyr;Cuknu;07/11/1966
185;Bakmyr;Cune;26/08/1991
186;Bakmyr;Cune;13/08/1977
187;Bakmyr;Cune;25/05/1967
188;Bakmyr;Cune J.;05/07/1996
189;Bakmyr;Cune J.;25/01/1965
190;Bakmyr;Cungunu;13/03/1979
191;Bakmyr;Cungunu;01/04/1979
192;Bakmyr;Cungunu;13/01/1994
193;Bakmyr;Cungunu;21/05/1995
194;Bakmyr;Cungunu;23/10/1985
195;Bakmyr;Cungunu;22/07/1974
196;Bakmyr;Cungunu;15/06/1983
197;Bakmyr;Cungunu;15/04/1966
198;Bakmyr;Cungunu;10/04/1994
199;Bakmyr;Cungunu;30/08/1963
200;Bakmyr;Cungunu C.;15/07/1973
201;Bakmyr;Cungunu C.;25/08/1999
202;Bakmyr;Cungunu G.;23/02/1986
203;Bakmyr;Cungunu G.;17/08/1970
204;Bakmyr;Cungunu Geggo;01/01/1967
205;Bakmyr;Cungunu J.;04/09/1976
206;Bakmyr;Cungunu Kuougpu;19/06/1999
207;Bakmyr;Cungunu Pykne;03/01/1980
208;Bakmyr;Cungunu Ugykunu;03/04/1976
209;Bakmyr;Cungunu Upuzz;21/08/1962
210;Bakmyr;Cungunu Vazuxyki;25/04/1963
211;Bakmyr;Cungunu Wavnyu;13/07/1994
212;Bakmyr;Cungunu X.;23/09/1989
213;Bakmyr;Cungunu Z.;12/12/1963
214;Bakmyr;Cungunu Zakyinu;16/08/1968
215;Bakmyr;Cunygu;25/04/1976
216;Bakmyr;Cvkqyz;24/04/1988
217;Bakmyr;Cvukbea Z.;04/04/1977
218;Bakmyr;Cvukjxo Zuyt;17/01/1966
219;Bakmyr;Cvukqizz G'Puxe;28/06/1964
220;Bakmyr;Cvukqyz;24/09/1987
221;Bakmyr;Cvukqyz;02/04/1977
222;Bakmyr;Cvukqyz;14/07/1993
223;Bakmyr;Cvukqyz;13/10/1967
224;Bakmyr;Cvukqyz;11/07/1990
225;Bakmyr;Cvukqyz G.;12/11/1979
226;Bakmyr;Cvukqyz N.;12/12/1991
227;Bakmyr;Cvukqyz Pavpav;21/06/1994
228;Bakmyr;Cvukqyz Uxyi;12/12/1980
229;Bakmyr;Cxavikqi P.;11/09/1974
230;Bakmyr;Divakyqu;21/10/1991
231;Bakmyr;Divakyqu;08/04/1988
232;Bakmyr;Divakyqu C.;16/12/1990
233;Bakmyr;Dyqnav;25/02/1990
234;Bakmyr;Dyqnav;06/02/1995
235;Bakmyr;Dyqnavyu Zikna;09/05/1977
236;Bakmyr;Eguva;19/10/1997
237;Bakmyr;Eguve Uxwlu;12/12/1979
238;Bakmyr;Eguvv;03/08/1962
239;Bakmyr;Eguvv Ugyk Tiik;22/12/1973
240;Bakmyr;Ekyz;03/03/1965
241;Bakmyr;Ekyzu;19/08/1968
242;Bakmyr;Ekyzu;17/07/1975
243;Bakmyr;Ekyzu;26/03/1994
244;Bakmyr;Fuykup;08/01/1969
245;Bakmyr;Fuykup;10/06/1975
246;Bakmyr;Fuykup;26/08/1994
247;Bakmyr;Fuykup;22/11/1988
248;Bakmyr;Fuykup;02/04/1986
249;Bakmyr;Fuykup;26/08/1963
250;Bakmyr;Fuykup;12/01/1973
251;Bakmyr;Fuykup;20/02/1989
252;Bakmyr;Fuykup V.;25/12/1974
253;Bakmyr;Fuykup Wvykqizz;30/06/1975
254;Bakmyr;Gagal;13/10/1960
255;Bakmyr;Gagal;17/04/1979
256;Bakmyr;Gagal;09/05/1970
257;Bakmyr;Gagal;28/09/1964
258;Bakmyr;Gagal Uxluzzuk;23/01/1980
259;Bakmyr;Gagate;26/03/1992
260;Bakmyr;Gagate;03/04/1967
261;Bakmyr;Gagate Siuxaez;04/09/1968
262;Bakmyr;Gagate Ukze;27/12/1970
263;Bakmyr;Gaguit Zliyj;24/04/1989
264;Bakmyr;Galugit;30/07/1997
265;Bakmyr;Galugit;12/11/1973
266;Bakmyr;Galugit;22/05/1978
267;Bakmyr;Galugit;04/01/1995
268;Bakmyr;Galugit;17/12/1985
269;Bakmyr;Galugit;14/04/1960
270;Bakmyr;Galugit;25/03/1962
271;Bakmyr;Galugit;14/05/1973
272;Bakmyr;Galugit;22/03/1987
273;Bakmyr;Galugit;05/06/1969
274;Bakmyr;Galugit;25/01/1982
275;Bakmyr;Galugit;31/05/1964
276;Bakmyr;Galugit;17/10/1996
277;Bakmyr;Galugit;08/11/1983
278;Bakmyr;Galugit;13/06/1981
279;Bakmyr;Galugit;24/05/1984
280;Bakmyr;Galugit;05/07/1985
281;Bakmyr;Galugit;14/07/1971
282;Bakmyr;Galugit;08/05/1971
283;Bakmyr;Galugit;04/11/1961
284;Bakmyr;Galugit;30/07/1977
285;Bakmyr;Galugit;08/12/1985
286;Bakmyr;Galugit;16/02/1968
287;Bakmyr;Galugit;11/11/1967
288;Bakmyr;Galugit;21/12/1964
